"주요 단계,주요 활동,시기,책임자,실무자,협조 및 지원 부서,적용 시스템"
"착수/계획,1.4 사업 기본정보 수집,수주결정 후부터 착수 시까지,PM,PMO,영업대표|BD,NA"
"착수/계획,1.5 수행 사무실 환경 구축,수주결정 후부터 착수전까지,PM,영업대표|BD|PMO,사업부서|기획부서,NA"
"착수/계획,1.6 관리/작업 환경 구축,수주결정후부터 착수전까지,PM,영업대표|BD|PMO,사업부서|기획부서|구매부서,NA"
"착수/계획,1.7 수행조직 및 역할 정의,계약체결일 D+7 이내,PM,PMO|PL,영업대표|BD|사업부서|이행부서,NA"
"착수/계획,1.8 관리정책(Ground Rule) 수립,계약체결일 D+7 이내,PMO,PL,,NA"
"착수/계획,1.9 프로젝트 착수 지원 요청,착수 시,PM,PMO,품질/PRM|아키텍처,Kate 메일로 요청"
"착수/계획,2. 산출물 정의 및 도구 설치,,,,,"
"착수/계획,2.1 방법론 테일러링,수주 후부터 착수계 제출전까지,전사 QA,프로젝트 QA|PL,품질/PRM|고객,Kate>K-Box"
"착수/계획,2.2 산출물 표준 작성,수주결정후부터 착수계 제출전까지,전사 QA,프로젝트 QA|PL,품질/PRM,NA"
"착수/계획,2.3 PMS 설치(필요시),착수 후 14일 이내,PMS 책임자,PMO|프로젝트 QA,품질/PRM|CTO 조직 PMS 담당부서,PMS"
"착수/계획,3. 하도급 계약,,,,,"
"착수/계획,3.1 하도급 계약 요청 및 계약 검토,착수 시|매출 계약 전,하도급 최초계약 요청: 영업대표,PMO|BD|구매,BD|구매부서|협력업체,"
"착수/계획,3.2 최초 하도급 계약(E),매출 계약 후~용역/발주 전,하도급 최초계약 요청: 영업대표,PMO|BD|구매,BD|구매부서|협력업체,EasyERP>기업매출프로젝트>하도급계약 관리>하도급계약 요청"
"착수/계획,3.3 하도급 사업수행계획서 확인,하도급 계약 완료 후,하도급 최초계약 요청: 영업대표,PMO|BD|구매,BD|구매부서|협력업체,구매시스템"
"착수/계획,4. 사업수행계획서 작성,""수주 후~계약체결일 D+7 이내 (RFP의 착수계 제출일 확인)"",PM,PMO|프로젝트 QA|PL,품질/PRM,NA"
"착수/계획,4.1 과업대비표 작성,수주 후~계약체결일 D+7 이내,PM,PMO|프로젝트 QA|PL,품질/PRM,NA"
"착수/계획,4.2 WBS 작성,수주 후~계약체결일 D+7 이내,PM,PMO|프로젝트 QA|PL,품질/PRM,NA"
"착수/계획,4.3 품질관리계획,수주 후~계약체결일 D+7 이내,PM,프로젝트 QA|PMO|PL,품질/PRM,NA"
"착수/계획,4.4 형상관리계획,수주 후~계약체결일 D+7 이내,PM,프로젝트 QA|PMO|PL,품질/PRM,NA"
"착수/계획,4.5 인력관리 계획,수주 후~계약체결일 D+7 이내,PM,PMO|PL,영업대표|BD|이행부서,인재 DB 추가 예정(TBD)"
"착수/계획,4.6 의사소통관리 계획,수주 후~계약체결일 D+7 이내,PM,PMO,,NA"
"착수/계획,4.7 위험관리 계획,수주 후~계약체결일 D+7 이내,PM,PMO,품질/PRM,NA"
"착수/계획,4.8 보안관리 계획,수주 후~계약체결일 D+7 이내,PM,보안PL|PMO,보안부서,NA"
"착수/계획,4.9 교육 및 기술이전 계획,수주 후~계약체결일 D+7 이내,PM,PMO|PL,교육부서|고객|벤더사,NA"
"착수/계획,5. 착수계 준비 및 제출,""수주 후~계약체결일 D+7 이내 (RFP의 착수계 제출일 확인)"",,,,"
"착수/계획,5.1 착수계 제출 시 유의사항 점검,수주 후~계약체결일 D+7 이내,PM,PMO,영업대표|BD,NA"
"착수/계획,5.2 착수계 제출서류 준비,수주 후~계약체결일 D+7 이내,PM,PMO,영업대표|BD,KATE>BPM"
"착수/계획,5.3 착수계 제출,수주 후~계약체결일 D+7 이내,PM,PMO,영업대표|BD,NA"
"착수/계획,6. 선급금 청구 및 지급,,,,,"
"착수/계획,6.1 선금급 신청,사업수행계획서(착수계) 승인 후,PM|영업대표,PMO|BD|재무부서,구매부서|재무부서,EasyERP"
"착수/계획,6.2 하도급 선급금 지급(E),선급금 수금 후 D+15 이내,PM,PMO|영업대표|BD|재무부서,구매|재무|협력업체,KOS"
"착수/계획,7. 공사성 사업 신고,,,,,"
"착수/계획,7.1 사업개시 신고,계약체결일 D+14 이내,PM,PMO,영업대표|BD,KATE>인장관리"
"착수/계획,7.2 하수급인 사업주 신고,하도급 계약체결일 D+30 이내,PM,PMO,영업대표|BD,KATE>BPM>근로복지공단 고용산재보험 토탈서비스 접속 신청"
"착수/계획,7.3 퇴직공제부금 성립신고,실 착공일 D+14 이내,PM,PMO,영업대표|BD,건설근로자 공제회>퇴직공제EDI시스템"
"착수/계획,8. 착수보고회 실시(고객 요청시),계약체결일 D+10 이내,PM,PMO|PL,고객|영업대표|BD|사업부서|이행부서,NA"
"착수/계획,9. 팀 착수 워크숍(팀 착수 교육),계약체결일 D+30 이내,PM,PMO|PL,기획부서,NA"
"착수/계획,10. 계획 등록: 인력/매출인식공정율(E),계약체결 후,PM,PMO|영업대표|BD,사업부서|이행부서,""EasyERP>기업매출프로젝트>수행프로젝트관리>프로젝트 기본계획 관리>인력투입계획 등록/변경,매출인식공정율 관리>매출인식공정율 등록/변경"""
"실행/통제,1.1. 프로젝트계획 변경 및 승인(필요시),프로젝트계획 변경 필요시,PM,PMO|PL,영업대표|BD|품질/PRM|계약관련부서,NA"
"실행/통제,1.2. 일반 관리 및 지원,계약체결일 D+14 이내,PM,PMO,,NA"
"실행/통제,2.1 요구사항 정의,요구사항 분석단계,PM,PMO|프로젝트 QA|PL,영업대표|BD|품질/PRM,NA"
"실행/통제,2.2 요구사항추적표 작성,계약체결일 D+14 이내,PM,PMO|프로젝트 QA|PL,영업대표|BD|품질/PRM,NA"
"실행/통제,2.3 변경 요구사항 관리,사안 발생 시,PM,PMO|프로젝트 QA|PL,고객|영업대표|BD|품질/PRM,NA"
"실행/통제,3.1 일정계획 vs 실적 평가,주별/월별|사안 발생 시,PM,PMO|PL,고객|영업대표|BD,NA"
"실행/통제,3.2 일정변경 및 고객승인(필요시),사안 발생 시,PM,PMO|PL,고객|영업대표|BD,NA"
"실행/통제,4.1 프로젝트 비용 집행,프로젝트 전체 단계,PM,PMO,영업대표|BD|재무부서,EasyERP"
"실행/통제,4.2 중도금 신청(E),프로젝트 전체 단계,PM,PMO|PL,영업대표|BD|구매|재무|협력업체,EasyERP"
"실행/통제,5.1 산출물 작성지침 교육,각 단계 시작 전,프로젝트 QA,PL|프로젝트팀 전원,전사 QA,NA"
"실행/통제,5.2 단계별 동료검토,각 단계말,프로젝트 QA,PL|프로젝트팀 전원,전사 QA,NA"
"실행/통제,5.3 단계별 품질점검,각 단계말,전사 QA,전사 QA|프로젝트 QA,품질/PRM|아키텍처,NA"
"실행/통제,5.4 단계별 외부감리 수검,각 단계말,PM,프로젝트 QA|PMO|PL,전사 QA,NA"
"실행/통제,5.5 부적합 및 개선사항 시정조치,각 단계말,PM,프로젝트 QA|PMO|PL,전사 QA,NA"
"실행/통제,5.6 품질지표 기록 및 통계 분석,프로젝트 전체 단계,PM,프로젝트 QA|PMO|PL,전사 QA,NA"
"실행/통제,6.1 형상 변경 및 백업 관리,프로젝트 전체 단계,PM,프로젝트 QA|PMO|PL,전사 QA,NA"
"실행/통제,7.1 인력 조달/투입/철수 관리,프로젝트 전체 단계,PM|영업대표|BD,PM|영업대표|BD,사업부서|이행부서|구매부서|인사부서,NA"
"실행/통제,7.2 인력 검증 및 투입 실적 관리,프로젝트 전체 단계,PM|영업대표|BD,PM|영업대표|BD,사업부서|이행부서|구매부서|인사부서,NA"
"실행/통제,8.1 이해관계자 의사소통,수행중,PM,PMO|PL|영업대표|BD,,NA"
"실행/통제,8.2 긴급상황 보고체계,수행중,PM,PMO|PL,영업대표|BD|품질/PRM|리스크관리부서,NA"
"실행/통제,8.3 고객 보고(주간/월간보고 등),주별/월별|주요 마일스톤,PM,PMO|PL,BD|품질/PRM,NA"
"실행/통제,8.4 회의 실시,프로젝트 전체 단계,PM|PL,PMO|프로젝트팀 전원,BD|이행부서,NA"
"실행/통제,8.5 Action Item 관리,프로젝트 전체 단계,PM|PL,PMO|프로젝트팀 전원,BD|이행부서,NA"
"실행/통제,8.6 행사의 기획 및 진행,프로젝트 전체 단계,PM,PMO,BD|영업대표|기획부서,NA"
"실행/통제,9.1 위험/이슈 식별 및 해결,프로젝트 전체 단계,PM,PMO|PL|프로젝트팀 전원,품질/PRM,NA"
"실행/통제,9.2 위험/이슈 현황 분석평가,프로젝트 전체 단계,PM,PMO|PL|프로젝트팀 전원,품질/PRM,NA"
"실행/통제,9.3 장애/재해 대응 및 보고,장애/재해 발생 시,PM,PMO|PL|프로젝트팀 전원,리스크관리부서|품질/PRM|아키텍처,NA"
"실행/통제,10.1 하도급 관리,수행중,PM,PMO,영업대표|BD|구매|재무|협력업체,EasyERP"
"실행/통제,10.2 하도급 검수 및 대가 지급(E),하도급 검수일 D+60 이내,PM,PMO,영업대표|BD|구매|재무|협력업체,EasyERP>기업매출프로젝트>하도급계약관리>지급요청>대가 지급요청"
"실행/통제,10.4 변경 계약 (필요시),구매계약 변경 필요시,PM,PMO|구매계약담당자,영업대표|BD|구매|재무|협력업체,EasyERP>기업매출프로젝트>하도급계약 관리>하도급계약 요청>변경계약 요청"
"종료/사후관리,1. 프로젝트 종료 준비,계약 종료일 30일 이전,PM,PMO; BD,영업대표; 재무,NA"
"종료/사후관리,2. 하자보수 및 유지보수 계획 수립,통합테스트 완료 전·후,PM,PMO; PL,이행부서,NA"
"종료/사후관리,3.1 예비 준공검사원 수검(필요시),준공 30일 전,PM,프로젝트 QA; PMO; PL,외부감리,NA"
"종료/사후관리,3.2 검수(준공검사),계약 종료일 전 D+14 이내,PM,PMO; 프로젝트 QA; PL,BD; 품질/PRM; 고객,KATE>문서결재>전자결재시스템"
"종료/사후관리,3.3 최종 산출물 취합/정리,검수 요청 이전,PL; 프로젝트 QA,프로젝트팀 전원,품질/PRM,NA"
"종료/사후관리,3.4 공식 산출물 제출/산출물 반출 요청,검수 요청 이전,PM,PMO; 프로젝트 QA; PL,품질/PRM,NA"
"종료/사후관리,3.5 고객 인수/인계,검수 요청 이전,PM,PMO; PL,사업부서; 이행부서,NA"
"종료/사후관리,4. 인력 및 자원 철수,프로젝트 종료 전,PM,PMO; 영업대표; BD,사업부서; 이행부서,NA"
"종료/사후관리,5. 종료보고회 실시(고객 요청시),검수 완료 후,PM,PMO; PL,사업부서; 이행부서,NA"
"종료/사후관리,6. 잔금 신청,검수 완료후,PM,PMO; PL,영업대표; BD; 재무,EasyERP"
"종료/사후관리,7. 업체 검수 및 대가 지급(E),검수: 하도급사 목적물 수령일 D+10 이내; 대가 지급: 하도급 검수일 D+60 이내; 대가수금일 D+15 이내,PM,PMO; PL,구매부서; 재무부서,EasyERP>기업매출프로젝트>하도급계약관리>지급요청>대가 지급요청"
"종료/사후관리,8.1 종료 PRB 자료 시스템 등록(E),준공일 D+60 이내,PM,PMO,BD; 품질/PRM,EasyERP>기업매출프로젝트>수행프로젝트관리>종료 PRB관리>종료 PRB등록/변경"
"종료/사후관리,8.2 종료 PRB 실시,준공일 D+50 이내,PM,PMO,BD; 품질/PRM,EasyERP"
"종료/사후관리,9.1 무상 하자보수,무상하자보수기간 내 (통상 프로젝트 종료 후 1년),PM,PMO; PL,BD; 품질/PRM,NA"
"종료/사후관리,9.2 사후관리 PRB 처리(E),프로젝트 종료 후,PM,PMO; PRB담당자,영업대표; BD; 품질/PRM,EasyERP>기업매출프로젝트>이행프로젝트관리>사후PRB관리>사후PRB요청등록/변경;리포트관리>프로젝트산출물조회;종료PRB관리>종료PRB등록/변경"
